,Date,Open,Close
1780,2017-07-25,23.0,22.639999
1781,2017-07-26,22.690666,22.923332
1782,2017-07-27,23.066668,22.297333
1783,2017-07-28,22.459333,22.337999
1784,2017-07-31,22.366667,21.564667
1785,2017-08-01,21.533333,21.304667
1786,2017-08-02,21.262667,21.726
1787,2017-08-03,23.021999,23.139334
1788,2017-08-04,23.133333,23.794001
1789,2017-08-07,23.823334,23.677999
1790,2017-08-08,23.835333,24.348
1791,2017-08-09,24.066668,24.235332
1792,2017-08-10,24.106667,23.693333
1793,2017-08-11,23.798,23.858
1794,2017-08-14,24.308666,24.253332
1795,2017-08-15,24.346666,24.155333
1796,2017-08-16,24.200001,24.194
1797,2017-08-17,24.080667,23.461332
1798,2017-08-18,23.527332,23.164
1799,2017-08-21,23.054667,22.524
1800,2017-08-22,22.742001,22.756666
1801,2017-08-23,22.599333,23.518
1802,2017-08-24,23.501333,23.528667
1803,2017-08-25,23.615999,23.203333
1804,2017-08-28,23.152,23.044001
1805,2017-08-29,22.632,23.157333
1806,2017-08-30,23.311333,23.545334
1807,2017-08-31,23.57,23.726667
1808,2017-09-01,23.741333,23.693333
1809,2017-09-05,23.586666,23.306
1810,2017-09-06,23.299999,22.968666
1811,2017-09-07,23.065332,23.374001
1812,2017-09-08,23.266001,22.893333
1813,2017-09-11,23.423332,24.246
1814,2017-09-12,24.299334,24.183332
1815,2017-09-13,24.254667,24.415333
1816,2017-09-14,24.288668,25.176001
1817,2017-09-15,24.967333,25.320667
1818,2017-09-18,25.35,25.666668
1819,2017-09-19,25.333332,25.006666
1820,2017-09-20,24.866667,24.927334
1821,2017-09-21,24.993334,24.431999
1822,2017-09-22,24.432667,23.406
1823,2017-09-25,23.543333,22.999332
1824,2017-09-26,23.395332,23.016666
1825,2017-09-27,23.326668,22.731333
1826,2017-09-28,22.658667,22.639999
1827,2017-09-29,22.790667,22.74
1828,2017-10-02,22.834667,22.768667
1829,2017-10-03,22.393333,23.209333
1830,2017-10-04,23.416668,23.667334
1831,2017-10-05,23.733334,23.688667
1832,2017-10-06,23.540001,23.792
1833,2017-10-09,23.309999,22.862667
1834,2017-10-10,23.120001,23.705999
1835,2017-10-11,23.592667,23.639999
1836,2017-10-12,23.530001,23.712
1837,2017-10-13,23.798668,23.704666
1838,2017-10-16,23.584,23.373333
1839,2017-10-17,23.393999,23.716667
1840,2017-10-18,23.731333,23.976667
1841,2017-10-19,23.704,23.454
1842,2017-10-20,23.512667,23.006666
1843,2017-10-23,23.325333,22.468
1844,2017-10-24,22.586666,22.489332
1845,2017-10-25,22.446667,21.722668
1846,2017-10-26,21.851999,21.744667
1847,2017-10-27,21.316668,21.391333
1848,2017-10-30,21.278667,21.338667
1849,2017-10-31,21.348667,22.101999
1850,2017-11-01,22.15,21.405333
1851,2017-11-02,20.008667,19.950666
1852,2017-11-03,19.966667,20.406
